Driver,Corner,SpeedClass,Avg_Entry_Speed,Avg_Exit_Speed,Max_Accel_Into,Max_Accel_Out,Max_Decel_Into,Avg_Throttle_Into,Avg_Throttle_Out,Speed_Consistency,Corner_Entry_Count,Corner_Exit_Count,Total_Corner_Samples,EventName,EventDate,Circuit
VER,corner_1,Slow,154.0,166.0,11.11111877291441,27.77777777777777,-36.21281262709111,6.099240149371128,64.52539899988798,4.387047361964613,1,1,2,Saudi Arabian Grand Prix,2022-03-27,Jeddah
VER,corner_5,Medium,204.0,247.0,13.888877289812399,6.944471008939104,-1.1368683772161603e-13,98.79416033144747,85.40067785460732,12.648642479316683,1,1,2,Saudi Arabian Grand Prix,2022-03-27,Jeddah
VER,corner_25,Fast,303.31111111111113,311.0,1.7361118942403095,1.388889102993005,-7.855902777777828,98.50359084365338,98.10997478380061,1.715110551119835,1,1,2,Saudi Arabian Grand Prix,2022-03-27,Jeddah
LEC,corner_1,Slow,165.84444444444443,172.0,12.731484455064475,20.880784616559254,-43.40273752985081,11.065287049072653,74.44240439153353,10.126151917861693,1,1,2,Saudi Arabian Grand Prix,2022-03-27,Jeddah
LEC,corner_5,Medium,198.6,252.0,13.888897108962738,8.487647232663335,-3.637978807091713e-12,98.77418798206395,90.02733351744125,14.795896250994728,1,1,2,Saudi Arabian Grand Prix,2022-03-27,Jeddah
LEC,corner_25,Fast,304.0,321.0,1.7361157105860912,1.736175627243938,-2.3148027059594227,99.9911569416499,99.99809815950921,0.5126939273457864,1,1,2,Saudi Arabian Grand Prix,2022-03-27,Jeddah
PER,corner_1,Slow,118.0,193.0,9.259259259259125,28.76984126984142,-32.4513898489143,3.8111192764686312,67.85402282624489,7.078538240694568,1,1,2,Saudi Arabian Grand Prix,2022-03-27,Jeddah
PER,corner_5,Medium,210.1,243.0,12.500080097679529,5.952397854139008,-1.4210854715202004e-13,98.3905764438685,81.29609181054845,11.707522140281391,1,1,2,Saudi Arabian Grand Prix,2022-03-27,Jeddah
PER,corner_25,Fast,305.67,314.5691608950592,2.7777778133367406,1.88861519154338,-1.7361143909148922,100.0,100.0,0.8194974657302436,1,1,2,Saudi Arabian Grand Prix,2022-03-27,Jeddah
SAI,corner_1,Slow,121.33333333333333,189.0,10.416664252733185,27.777849919484765,-48.611165171528455,10.583695985954337,74.64613294449599,12.729976687539436,1,1,2,Saudi Arabian Grand Prix,2022-03-27,Jeddah
SAI,corner_5,Medium,210.75,257.0156232,13.888896584896543,8.33331707133452,-2.2737367544323206e-13,98.23842775414461,87.43339811130939,13.365997718224973,1,1,2,Saudi Arabian Grand Prix,2022-03-27,Jeddah
SAI,corner_25,Fast,306.0,303.0,2.3148150854810297,1.736175627233024,-3.472228781830097,99.64414524463125,99.77143180954815,1.3048044673873667,1,1,2,Saudi Arabian Grand Prix,2022-03-27,Jeddah
OCO,corner_1,Slow,157.68,196.0,11.160714079571235,22.569430690256354,-38.88888888889096,5.362807641485063,69.82655328879692,7.479988205904829,1,1,2,Saudi Arabian Grand Prix,2022-03-27,Jeddah
OCO,corner_5,Medium,201.6687488,245.0,13.88888029304006,5.952383879277477,-2.3447910280083306e-13,96.82027657235923,86.12455858723435,12.969247450985273,1,1,2,Saudi Arabian Grand Prix,2022-03-27,Jeddah
OCO,corner_25,Fast,300.0,306.0,2.777773283795341,1.7361112854030125,-2.5960517181515286,99.45269661555886,96.78045111548568,1.3400906764552902,1,1,2,Saudi Arabian Grand Prix,2022-03-27,Jeddah
RUS,corner_1,Slow,165.9,175.0,13.888917057282924,24.305555555555486,-50.347270152505416,6.979952832347249,68.09548207198849,4.617648585937073,1,1,2,Saudi Arabian Grand Prix,2022-03-27,Jeddah
