Driver,Corner,SpeedClass,Avg_Entry_Speed,Avg_Exit_Speed,Max_Accel_Into,Max_Accel_Out,Max_Decel_Into,Avg_Throttle_Into,Avg_Throttle_Out,Speed_Consistency,Corner_Entry_Count,Corner_Exit_Count,Total_Corner_Samples,EventName,EventDate,Circuit
VER,corner_0,Slow,225.0,109.30769857156315,1.5432117489365993,19.29012962091953,-72.22222592148,0.34545134489048135,26.16527826752907,39.29703246500982,1,1,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah
VER,corner_7,Medium,241.0,242.0,5.2083354497355,5.208332165419165,-8.928618946945335,81.41581923095782,67.59487812949375,1.743911812936747,1,1,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah
VER,corner_25,Fast,307.0,309.0,2.604166575346028,1.3888888888889142,-2.3148269236697843,100.0,100.0,1.3112212808135655,1,1,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah
PER,corner_0,Slow,249.0,125.825,2.3148130767383464,23.148125670280024,-71.18055555555554,0.48272877532871256,25.632554585163106,38.73216421731759,1,1,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah
PER,corner_7,Medium,242.75833386666667,239.46665813333334,10.41665876673244,6.266711229946537,-8.928571955530572,69.32987291510067,84.1365526251402,0.5390569878370958,1,1,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah
PER,corner_25,Fast,311.0,310.0,3.472222222221717,1.7361142851545992,-4.955628822115614,99.00676057043093,99.29465761220743,0.1797120272195412,1,1,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah
LEC,corner_0,Slow,222.0,104.36591476363637,3.472218513063865,18.055547629408466,-116.31952211628766,1.0962872984213567,29.752516397677606,39.03885448804087,1,1,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah
LEC,corner_7,Medium,240.28999936,248.0,5.787023944874903,5.2083333333332575,-4.960327682653158,76.08639221486575,75.47386401685029,0.7855184986471719,1,1,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah
LEC,corner_25,Fast,306.0,311.6903923538956,2.3148389104762757,1.9770672456168086,-1.9841683852771306,99.7380576055586,99.75074754668599,0.0517077903073212,1,1,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah
PIA,corner_0,Slow,234.0,122.3583424,2.083343852157313,19.097200015529097,-62.49925581395246,0.15844195179975742,24.828096047637093,34.85475378649307,1,1,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah
PIA,corner_7,Medium,244.73636363636365,248.6,5.787040823443746,5.208333333333485,-9.722224956120215,64.7264563171682,59.812103262480754,3.453055826612519,1,1,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah
PIA,corner_25,Fast,301.0,313.275,3.472228781831049,1.7361111111111711,-1.9841269841269877,99.0,99.0,0.12096604674942497,1,1,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah
ALO,corner_0,Slow,284.43333333333334,112.0,2.3148125670279,23.43749774159042,-81.59722222222211,0.4784720120924456,25.922051758634954,33.36111109359286,1,1,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah
ALO,corner_7,Medium,235.56363636363636,244.0,6.9444456962047525,5.2083485131260545,-9.920844268716614,69.81427720326268,74.50073910397877,3.6528241039131135,1,1,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah
ALO,corner_25,Fast,318.8250002285714,312.0,1.98416691624044,1.7361138340139064,-1.7361262579127086,99.10765455057079,99.19082983171401,0.3858280619286353,1,1,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah
RUS,corner_0,Slow,193.0,118.0,5.208337475679329,24.30556204639882,-86.80003494057019,0.5623406913095685,27.15338286704745,32.34694003020053,1,1,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah
RUS,corner_7,Medium,231.0,230.9501374669629,8.680575687853263,5.787037037038317,-8.680575654995437,65.89851603674668,66.14058711592378,2.3698527351880987,1,1,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah
RUS,corner_25,Fast,327.78250048,295.76,2.7917359497923826,2.7777929987701313,-3.4722348201857187,99.57798883507861,98.60640719924817,0.20643254093462587,1,1,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah
BEA,corner_0,Slow,233.0,127.0,6.944444444444471,22.42926255066712,-102.43034189300295,1.6329361352184428,32.44020320891483,29.622948334092214,1,1,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah
BEA,corner_7,Medium,213.0,255.0,8.680631289551872,5.401235962330418,-6.944447258919411,75.13848830081075,74.84354061638967,0.037627111173466496,1,1,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah
BEA,corner_25,Fast,325.3285714285714,313.0,3.4722195889110026,2.777777777776919,-2.3148634969552786,99.85395896033546,99.9368684096873,0.06311809539928227,1,1,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah
NOR,corner_0,Slow,220.4857088,112.0,2.7777745598336594,20.833349133201523,-56.2478241547708,0.7206696941281389,29.584114712483906,33.813354962596364,1,1,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah
NOR,corner_7,Medium,231.0,247.0,5.555612471875229,5.787032029507031,-8.68058705046505,76.73988990185491,65.6038483852152,3.0153751088695024,1,1,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah
NOR,corner_25,Fast,310.0,299.82,1.7361114276169474,1.7361130418403263,-3.4722172379968015,99.0,99.0,2.141585014261364,1,1,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah
