Driver,Corner,SpeedClass,Avg_Entry_Speed,Avg_Exit_Speed,Max_Accel_Into,Max_Accel_Out,Max_Decel_Into,Avg_Throttle_Into,Avg_Throttle_Out,Speed_Consistency,Corner_Entry_Count,Corner_Exit_Count,Total_Corner_Samples,EventName,EventDate,Circuit
PER,corner_1,Slow,154.5,174.0,4.340265479287382,27.777765596366805,-55.659238685862135,4.512154289525479,62.42036960666268,2.3785621518462885,1,1,2,Saudi Arabian Grand Prix,2023-03-19,Jeddah
PER,corner_7,Medium,224.0,242.0,6.973513802623756,7.812492006558614,-8.33333333333303,66.37805646129422,71.71120806458241,0.39700393295768543,1,1,2,Saudi Arabian Grand Prix,2023-03-19,Jeddah
PER,corner_20,Fast,309.0,306.0,2.314813799697106,9.094947017729282e-13,-3.472220481083923,100.0,97.35482423832964,2.1357739692179774,1,1,2,Saudi Arabian Grand Prix,2023-03-19,Jeddah
VER,corner_1,Slow,141.0,170.6000128,8.928571428571416,27.778151753009674,-68.22611658842958,4.350951942796994,65.81559015459678,3.9815948662488756,1,1,2,Saudi Arabian Grand Prix,2023-03-19,Jeddah
VER,corner_7,Medium,225.8181818181818,252.50499712,6.944444444445253,8.680566984126841,-11.111111111111313,61.82445931519922,59.08127763054925,4.199969896283959,1,1,2,Saudi Arabian Grand Prix,2023-03-19,Jeddah
VER,corner_20,Fast,311.0,311.0,3.4722222222226264,1.3888926146003513,-2.7777773495695897,99.98353678442757,92.61654161506463,2.1060615301342116,1,1,2,Saudi Arabian Grand Prix,2023-03-19,Jeddah
ALO,corner_1,Slow,163.0,169.343752,6.944426477865136,22.222222222221873,-58.53159498351033,5.950082095454277,65.57239730136229,8.896304865003659,1,1,2,Saudi Arabian Grand Prix,2023-03-19,Jeddah
ALO,corner_7,Medium,228.0,253.0,6.944464684169674,4.629643883464556,-9.885338111928483,80.77201770652262,71.21553904286594,2.726369367186133,1,1,2,Saudi Arabian Grand Prix,2023-03-19,Jeddah
ALO,corner_20,Fast,302.75,297.53999872,3.4722208239038537,1.7361111111117467,-6.944445141612448,99.0,98.98384136474482,2.4492011080161404,1,1,2,Saudi Arabian Grand Prix,2023-03-19,Jeddah
RUS,corner_1,Slow,131.45356251428572,165.0,6.155786704977878,27.777770755614057,-62.11184859918683,4.125722954139499,64.4553205657977,2.439083879720326,1,1,2,Saudi Arabian Grand Prix,2023-03-19,Jeddah
RUS,corner_7,Medium,221.82758620689654,246.0,6.944444444444514,5.208345412712021,-6.966218107776484,74.83210180358279,73.31911300411261,1.0542177110486413,1,1,2,Saudi Arabian Grand Prix,2023-03-19,Jeddah
RUS,corner_20,Fast,305.85,299.0,1.7470296460039663,2.3148152933022175,-3.4722948808703222,100.0,100.0,1.2010899044669938,1,1,2,Saudi Arabian Grand Prix,2023-03-19,Jeddah
SAI,corner_1,Slow,144.0,189.0,5.787039379131983,29.51397490771835,-99.53735363824971,6.150111259144801,66.34118732179296,3.1911771856246856,1,1,2,Saudi Arabian Grand Prix,2023-03-19,Jeddah
SAI,corner_7,Medium,220.0,238.63636712727273,6.944513551808434,5.787046212516884,-8.928579065670341,77.09081021903125,61.525678433531176,1.1906380869180218,1,1,2,Saudi Arabian Grand Prix,2023-03-19,Jeddah
SAI,corner_20,Fast,307.82758620689657,303.0,3.472199002533671,1.1574149705249788,-3.472222222221916,99.96514882298383,99.95722327052196,2.0367634549779403,1,1,2,Saudi Arabian Grand Prix,2023-03-19,Jeddah
